model,accuracy,precision_weighted,recall_weighted,f1_weighted
XGBoost,0.8536121673003803,0.8483237256338886,0.8536121673003803,0.8504752263152823
LightGBM,0.8474334600760456,0.8417564448745521,0.8474334600760456,0.8441434695813788
Logistic Regression,0.8298479087452472,0.861653349276225,0.8298479087452472,0.8407214017059264
Random Forest,0.8403041825095057,0.8281783982007715,0.8403041825095057,0.8315141487477048
KNN,0.8127376425855514,0.8021633175923806,0.8127376425855514,0.8055109982490408
Decision Tree,0.8013307984790875,0.7926462827214704,0.8013307984790875,0.7965324703883935
