ID,Question,OptionA,OptionB,OptionC,OptionD
Q1,"Bạn thường dùng điện thoại bao lâu trong một phiên khi đang học?","Dưới 10 phút","10-30 phút","30-60 phút","Trên 60 phút"
Q2,"Nhóm ứng dụng nào khiến bạn dễ mất tập trung nhất?","Mạng xã hội","Game","Video/giải trí","Tin nhắn học tập"
Q3,"Bạn thường mở khóa điện thoại bao nhiêu lần trong một buổi học?","1-3 lần","4-6 lần","7-10 lần","Trên 10 lần"
Q4,"Khi có deadline gần, điện thoại ảnh hưởng đến tiến độ của bạn như thế nào?","Gần như không ảnh hưởng","Hơi làm chậm","Làm gián đoạn nhiều","Khiến mình trì hoãn rõ rệt"
Q5,"Bạn thường làm gì để giảm phân tâm từ điện thoại?","Tắt thông báo","Để xa tầm tay","Dùng app chặn","Chưa có thói quen cố định"
